node            mean	sd	2.5%	97.5%	Rhat	n.eff
LOR[8,2]	0.5783	0.447	-0.349	1.4225	1.0017	2500
LOR[4,3]	0.47	0.4687	-0.4848	1.3789	1.0021	1700
LOR[5,3]	0.2748	0.4785	-0.6807	1.2049	1.0024	1400
LOR[6,3]	0.6412	0.4453	-0.2505	1.49	1.0012	9500
LOR[7,3]	0.3392	0.4307	-0.5348	1.1611	1.0017	2500
LOR[8,3]	0.2914	0.4254	-0.5823	1.1001	1.0015	3700
LOR[5,4]	-0.1952	0.3361	-0.8706	0.468	1.0018	2400
LOR[6,4]	0.1712	0.3458	-0.5284	0.8289	1.0018	2400
LOR[7,4]	-0.1307	0.2828	-0.7221	0.3954	1.0013	5300
LOR[8,4]	-0.1786	0.2766	-0.7605	0.3331	1.0016	3300
LOR[6,5]	0.3664	0.3584	-0.357	1.0473	1.0021	1800
LOR[7,5]	0.0645	0.2927	-0.5395	0.6196	1.0016	3300
LOR[8,5]	0.0166	0.2879	-0.5818	0.5525	1.002	2000
LOR[7,6]	-0.3019	0.2852	-0.8697	0.2512	1.0013	5000
LOR[8,6]	-0.3498	0.2678	-0.8883	0.163	1.0011	12000
LOR[8,7]	-0.0478	0.17	-0.3911	0.2816	1.0011	11000
LOR[2,1]	-0.9151	0.4524	-1.776	0.0292	1.001	21000
LOR[3,1]	-0.6386	0.426	-1.4516	0.2218	1.0019	2100
LOR[4,1]	-0.2528	0.2711	-0.7799	0.2937	1.0012	8900
LOR[5,1]	-0.4546	0.2885	-1.0098	0.1281	1.0015	3800
LOR[6,1]	-0.0686	0.2613	-0.5844	0.4436	1.002	2000
LOR[7,1]	-0.4387	0.1652	-0.7667	-0.1161	1.0016	3000
LOR[8,1]	-0.4988	0.1482	-0.8021	-0.2241	1.0016	3200
LOR[3,2]	0.2764	0.4898	-0.7014	1.2401	1.0015	3600
LOR[4,2]	0.6623	0.4951	-0.3447	1.6097	1.001	27000
LOR[5,2]	0.4605	0.5085	-0.5914	1.428	1.001	27000
LOR[6,2]	0.8464	0.474	-0.1235	1.739	1.001	27000
